study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,128x128x128,2,filtered_v2,025,129x129x129,2146689,1.139981e-03,6.974225e-05,2.983792e-04,3.013732e-04,4.193074e-04,5.117925e-05
refine,128x128x128,2,filtered_v2,040,129x129x129,2146689,1.141200e-03,6.152870e-05,2.863542e-04,2.882100e-04,4.532197e-04,5.188685e-05
refine,128x128x128,2,pascal,025,129x129x129,2146689,1.304735e-03,6.124325e-05,2.819222e-04,2.843678e-04,6.214962e-04,5.570510e-05
refine,128x128x128,2,pascal,040,129x129x129,2146689,1.350092e-03,6.980330e-05,2.947322e-04,2.978295e-04,6.302783e-04,5.744855e-05
refine,128x128x256,2,filtered_v2,025,129x129x257,4276737,1.751993e-03,1.268522e-04,4.539997e-04,4.552786e-04,6.614754e-04,5.438750e-05
refine,128x128x256,2,filtered_v2,040,129x129x257,4276737,1.757914e-03,1.102102e-04,4.489439e-04,4.447396e-04,6.980934e-04,5.592700e-05
refine,128x128x256,2,pascal,025,129x129x257,4276737,1.977169e-03,1.102717e-04,4.443504e-04,4.405804e-04,9.221224e-04,5.984460e-05
refine,128x128x256,2,pascal,040,129x129x257,4276737,2.010028e-03,1.270880e-04,4.490038e-04,4.502054e-04,9.256787e-04,5.805170e-05
refine,128x128x512,2,filtered_v2,025,129x129x513,8536833,2.992494e-03,2.386428e-04,7.948841e-04,7.796762e-04,1.124895e-03,5.439600e-05
refine,128x128x512,2,filtered_v2,040,129x129x513,8536833,2.995608e-03,2.073704e-04,7.962550e-04,7.754473e-04,1.158797e-03,5.773755e-05
refine,128x128x512,2,pascal,025,129x129x513,8536833,3.376337e-03,2.078629e-04,7.941684e-04,7.718931e-04,1.535185e-03,6.722775e-05
refine,128x128x512,2,pascal,040,129x129x513,8536833,3.404913e-03,2.352000e-04,7.914532e-04,7.752688e-04,1.537980e-03,6.501110e-05
refine,256x256x1024,2,filtered_v2,025,257x257x1025,67700225,1.991262e-02,1.658063e-03,6.046213e-03,5.993331e-03,6.132691e-03,8.232135e-05
refine,256x256x1024,2,filtered_v2,040,257x257x1025,67700225,2.004894e-02,1.657658e-03,6.046156e-03,5.988765e-03,6.276235e-03,8.012240e-05
refine,256x256x1024,2,pascal,025,257x257x1025,67700225,2.265041e-02,1.658242e-03,6.042649e-03,5.993162e-03,8.865146e-03,9.121320e-05
refine,256x256x1024,2,pascal,040,257x257x1025,67700225,2.263549e-02,1.658232e-03,6.040304e-03,5.986418e-03,8.861615e-03,8.891835e-05
refine,256x256x256,2,filtered_v2,025,257x257x257,16974593,5.451113e-03,4.607226e-04,1.547729e-03,1.532034e-03,1.832439e-03,7.818780e-05
refine,256x256x256,2,filtered_v2,040,257x257x257,16974593,5.525785e-03,4.246887e-04,1.549069e-03,1.524341e-03,1.951556e-03,7.613115e-05
refine,256x256x256,2,pascal,025,257x257x257,16974593,6.105879e-03,4.252910e-04,1.546425e-03,1.519546e-03,2.526495e-03,8.812160e-05
refine,256x256x256,2,pascal,040,257x257x257,16974593,6.086522e-03,4.251444e-04,1.546066e-03,1.518805e-03,2.512214e-03,8.429275e-05
refine,256x256x512,2,filtered_v2,025,257x257x513,33883137,1.005748e-02,8.359385e-04,2.978039e-03,2.890157e-03,3.270518e-03,8.283105e-05
refine,256x256x512,2,filtered_v2,040,257x257x513,33883137,1.023554e-02,8.372939e-04,2.979293e-03,2.929938e-03,3.402753e-03,8.626660e-05
refine,256x256x512,2,pascal,025,257x257x513,33883137,1.145534e-02,8.362087e-04,2.977511e-03,2.908936e-03,4.639484e-03,9.319610e-05
refine,256x256x512,2,pascal,040,257x257x513,33883137,1.148171e-02,8.777742e-04,2.975163e-03,2.881917e-03,4.653306e-03,9.355295e-05
refine,64x64x128,2,filtered_v2,025,65x65x129,545025,4.788496e-04,2.181775e-05,1.018560e-04,1.029187e-04,2.156724e-04,3.658475e-05
refine,64x64x128,2,filtered_v2,040,65x65x129,545025,5.078962e-04,2.204195e-05,1.019372e-04,1.035295e-04,2.391328e-04,4.125470e-05
refine,64x64x128,2,pascal,025,65x65x129,545025,6.839456e-04,2.214245e-05,9.815830e-05,9.985265e-05,4.167430e-04,4.704920e-05
refine,64x64x128,2,pascal,040,65x65x129,545025,6.907051e-04,2.228885e-05,9.807285e-05,9.964955e-05,4.220603e-04,4.863360e-05
refine,64x64x256,2,filtered_v2,025,65x65x257,1085825,7.627465e-04,3.953390e-05,1.499962e-04,1.503736e-04,3.806331e-04,4.220965e-05
refine,64x64x256,2,filtered_v2,040,65x65x257,1085825,7.636553e-04,3.532870e-05,1.429564e-04,1.441000e-04,3.950028e-04,4.626740e-05
refine,64x64x256,2,pascal,025,65x65x257,1085825,9.425403e-04,3.540575e-05,1.387991e-04,1.408499e-04,5.792172e-04,4.826835e-05
refine,64x64x256,2,pascal,040,65x65x257,1085825,9.859416e-04,4.058430e-05,1.466839e-04,1.470594e-04,6.019434e-04,4.967060e-05
refine,64x64x64,2,filtered_v2,025,65x65x65,274625,3.044315e-04,1.559375e-05,5.939685e-05,5.946980e-05,1.308786e-04,3.909255e-05
refine,64x64x64,2,filtered_v2,040,65x65x65,274625,3.097614e-04,1.564440e-05,5.931385e-05,5.978735e-05,1.367465e-04,3.826925e-05
refine,64x64x64,2,pascal,025,65x65x65,274625,5.041123e-04,1.587995e-05,5.773915e-05,5.733910e-05,3.276535e-04,4.550060e-05
refine,64x64x64,2,pascal,040,65x65x65,274625,5.005321e-04,1.570975e-05,5.751615e-05,5.734925e-05,3.260390e-04,4.391795e-05
strong,128x128x1024,1,filtered_v2,025,129x129x1025,17057025,1.011358e-02,7.942942e-04,3.071971e-03,2.930159e-03,3.315207e-03,1.952900e-06
strong,128x128x1024,1,filtered_v2,040,129x129x1025,17057025,1.011414e-02,7.931625e-04,3.072707e-03,2.931739e-03,3.314613e-03,1.916900e-06
strong,128x128x1024,1,pascal,025,129x129x1025,17057025,1.025269e-02,8.970984e-04,3.071250e-03,2.957122e-03,3.325240e-03,1.977800e-06
strong,128x128x1024,1,pascal,040,129x129x1025,17057025,1.009631e-02,7.932354e-04,3.068011e-03,2.922777e-03,3.310298e-03,1.989750e-06
strong,128x128x1024,2,filtered_v2,025,129x129x1025,17057025,5.473611e-03,4.022186e-04,1.523851e-03,1.462858e-03,2.024017e-03,6.066620e-05
strong,128x128x1024,2,filtered_v2,040,129x129x1025,17057025,5.600514e-03,4.458595e-04,1.522531e-03,1.466383e-03,2.102626e-03,6.311370e-05
strong,128x128x1024,2,pascal,025,129x129x1025,17057025,6.275044e-03,4.697125e-04,1.517757e-03,1.464357e-03,2.754433e-03,6.878445e-05
strong,128x128x1024,2,pascal,040,129x129x1025,17057025,6.170864e-03,4.030125e-04,1.518492e-03,1.456740e-03,2.726443e-03,6.617605e-05
strong,128x128x1024,4,filtered_v2,025,129x129x1025,17057025,3.062358e-03,2.418805e-04,8.000910e-04,7.881628e-04,1.156317e-03,7.590735e-05
strong,128x128x1024,4,filtered_v2,040,129x129x1025,17057025,3.123261e-03,2.406466e-04,8.006777e-04,7.913011e-04,1.213866e-03,7.676950e-05
strong,128x128x1024,4,pascal,025,129x129x1025,17057025,3.712459e-03,2.435636e-04,8.182729e-04,7.862139e-04,1.774103e-03,9.030560e-05
strong,128x128x1024,4,pascal,040,129x129x1025,17057025,3.681575e-03,2.092378e-04,7.987661e-04,7.787650e-04,1.800106e-03,9.469965e-05
strong,256x256x2048,1,filtered_v2,025,257x257x2049,135334401,8.754340e-02,6.600352e-03,2.840984e-02,3.021537e-02,2.231436e-02,3.481150e-06
strong,256x256x2048,1,filtered_v2,040,257x257x2049,135334401,8.761144e-02,6.600262e-03,2.843843e-02,3.031099e-02,2.225901e-02,2.750600e-06
strong,256x256x2048,1,pascal,025,257x257x2049,135334401,8.757597e-02,6.599329e-03,2.841908e-02,3.027206e-02,2.228282e-02,2.687350e-06
strong,256x256x2048,1,pascal,040,257x257x2049,135334401,8.779086e-02,6.599984e-03,2.844909e-02,3.051084e-02,2.222791e-02,3.030900e-06
strong,256x256x2048,2,filtered_v2,025,257x257x2049,135334401,4.549472e-02,3.318636e-03,1.473459e-02,1.555136e-02,1.180323e-02,8.690890e-05
strong,256x256x2048,2,filtered_v2,040,257x257x2049,135334401,4.565446e-02,3.323931e-03,1.472370e-02,1.555668e-02,1.196367e-02,8.647830e-05
strong,256x256x2048,2,pascal,025,257x257x2049,135334401,5.109983e-02,3.324478e-03,1.473149e-02,1.552818e-02,1.742204e-02,9.363820e-05
strong,256x256x2048,2,pascal,040,257x257x2049,135334401,5.112120e-02,3.318751e-03,1.471032e-02,1.558030e-02,1.742089e-02,9.093530e-05
strong,256x256x2048,4,filtered_v2,025,257x257x2049,135334401,2.011224e-02,1.696649e-03,6.086930e-03,6.049626e-03,6.175639e-03,1.033909e-04
strong,256x256x2048,4,filtered_v2,040,257x257x2049,135334401,2.022179e-02,1.661919e-03,6.085570e-03,6.033523e-03,6.337726e-03,1.030524e-04
strong,256x256x2048,4,pascal,025,257x257x2049,135334401,2.324212e-02,1.685757e-03,6.083675e-03,6.036033e-03,9.305966e-03,1.306901e-04
strong,256x256x2048,4,pascal,040,257x257x2049,135334401,2.320708e-02,1.662863e-03,6.080412e-03,6.027432e-03,9.305693e-03,1.306841e-04
strong,64x64x512,1,filtered_v2,025,65x65x513,2167425,1.729355e-03,1.094072e-04,4.137863e-04,3.940846e-04,8.104061e-04,1.671100e-06
strong,64x64x512,1,filtered_v2,040,65x65x513,2167425,1.726518e-03,1.097177e-04,4.139765e-04,3.925563e-04,8.085598e-04,1.707550e-06
strong,64x64x512,1,pascal,025,65x65x513,2167425,1.781669e-03,1.263129e-04,4.097949e-04,3.871673e-04,8.566803e-04,1.713400e-06
strong,64x64x512,1,pascal,040,65x65x513,2167425,1.710373e-03,1.088222e-04,4.102498e-04,3.854879e-04,8.041060e-04,1.706700e-06
strong,64x64x512,2,filtered_v2,025,65x65x513,2167425,1.206680e-03,6.060245e-05,2.370766e-04,2.339411e-04,6.267291e-04,4.833060e-05
strong,64x64x512,2,filtered_v2,040,65x65x513,2167425,1.273482e-03,6.881875e-05,2.394767e-04,2.403920e-04,6.786218e-04,4.617260e-05
strong,64x64x512,2,pascal,025,65x65x513,2167425,1.534884e-03,6.921685e-05,2.355096e-04,2.350112e-04,9.448371e-04,5.030940e-05
strong,64x64x512,2,pascal,040,65x65x513,2167425,1.491457e-03,6.069220e-05,2.316513e-04,2.304804e-04,9.158837e-04,5.274940e-05
strong,64x64x512,4,filtered_v2,025,65x65x513,2167425,8.184410e-04,4.007645e-05,1.520932e-04,1.531885e-04,4.049515e-04,6.813145e-05
strong,64x64x512,4,filtered_v2,040,65x65x513,2167425,8.383812e-04,3.956525e-05,1.517960e-04,1.532393e-04,4.293591e-04,6.442165e-05
strong,64x64x512,4,pascal,025,65x65x513,2167425,1.224674e-03,4.046000e-05,1.478471e-04,1.492124e-04,8.105319e-04,7.662210e-05
strong,64x64x512,4,pascal,040,65x65x513,2167425,1.179968e-03,3.622460e-05,1.402842e-04,1.424423e-04,7.867342e-04,7.428255e-05
weak,128cube,1,filtered_v2,025,129x129x129,2146689,1.433282e-03,1.101726e-04,4.461891e-04,4.423780e-04,4.329493e-04,1.593400e-06
weak,128cube,1,filtered_v2,040,129x129x129,2146689,1.432925e-03,1.100289e-04,4.457666e-04,4.437241e-04,4.317866e-04,1.619200e-06
weak,128cube,1,pascal,025,129x129x129,2146689,1.420278e-03,1.106242e-04,4.416473e-04,4.374642e-04,4.288857e-04,1.656550e-06
weak,128cube,1,pascal,040,129x129x129,2146689,1.422976e-03,1.106702e-04,4.414236e-04,4.392153e-04,4.299989e-04,1.667900e-06
weak,128cube,2,filtered_v2,025,129x129x257,4276737,1.762371e-03,1.256487e-04,4.559756e-04,4.578400e-04,6.641332e-04,5.877360e-05
weak,128cube,2,filtered_v2,040,129x129x257,4276737,1.793093e-03,1.268240e-04,4.539338e-04,4.551302e-04,7.079286e-04,4.927640e-05
weak,128cube,2,pascal,025,129x129x257,4276737,1.966661e-03,1.104746e-04,4.451289e-04,4.406348e-04,9.133941e-04,5.702845e-05
weak,128cube,2,pascal,040,129x129x257,4276737,1.991835e-03,1.109582e-04,4.453033e-04,4.416050e-04,9.302863e-04,6.368200e-05
weak,128cube,4,filtered_v2,025,129x129x513,8536833,1.819136e-03,1.263211e-04,4.614276e-04,4.607493e-04,6.908193e-04,7.981880e-05
weak,128cube,4,filtered_v2,040,129x129x513,8536833,1.862007e-03,1.265775e-04,4.638577e-04,4.604855e-04,7.368699e-04,7.421625e-05
weak,128cube,4,pascal,025,129x129x513,8536833,2.247753e-03,1.116529e-04,4.488147e-04,4.451332e-04,1.156841e-03,8.531085e-05
weak,128cube,4,pascal,040,129x129x513,8536833,2.248156e-03,1.115016e-04,4.477633e-04,4.463313e-04,1.157792e-03,8.476815e-05
weak,256cube,1,filtered_v2,025,257x257x257,16974593,9.498798e-03,8.373240e-04,2.971439e-03,2.885715e-03,2.802336e-03,1.984000e-06
weak,256cube,1,filtered_v2,040,257x257x257,16974593,9.498077e-03,8.362058e-04,2.973100e-03,2.884139e-03,2.802707e-03,1.926000e-06
weak,256cube,1,pascal,025,257x257x257,16974593,9.482503e-03,8.392675e-04,2.967618e-03,2.876421e-03,2.796684e-03,2.512650e-06
weak,256cube,1,pascal,040,257x257x257,16974593,9.480016e-03,8.378268e-04,2.965401e-03,2.878411e-03,2.796395e-03,1.981650e-06
weak,256cube,2,filtered_v2,025,257x257x513,33883137,1.007799e-02,8.709764e-04,2.976692e-03,2.885724e-03,3.264005e-03,8.059325e-05
weak,256cube,2,filtered_v2,040,257x257x513,33883137,1.027219e-02,9.225100e-04,2.974993e-03,2.898997e-03,3.392523e-03,8.316860e-05
weak,256cube,2,pascal,025,257x257x513,33883137,1.146316e-02,8.381060e-04,2.976167e-03,2.900675e-03,4.652651e-03,9.556285e-05
weak,256cube,2,pascal,040,257x257x513,33883137,1.144964e-02,8.371319e-04,2.975451e-03,2.887776e-03,4.651132e-03,9.814885e-05
weak,256cube,4,filtered_v2,025,257x257x1025,67700225,1.025196e-02,9.144381e-04,2.988030e-03,2.951799e-03,3.297581e-03,1.001171e-04
weak,256cube,4,filtered_v2,040,257x257x1025,67700225,1.040478e-02,9.623032e-04,2.985926e-03,2.910654e-03,3.444977e-03,1.009201e-04
weak,256cube,4,pascal,025,257x257x1025,67700225,1.194895e-02,8.663534e-04,2.990878e-03,2.903714e-03,5.061905e-03,1.261011e-04
weak,256cube,4,pascal,040,257x257x1025,67700225,1.198893e-02,8.673867e-04,2.990091e-03,2.903011e-03,5.097906e-03,1.305324e-04
weak,512cube,1,filtered_v2,025,513x513x513,135005697,9.840108e-02,7.252332e-03,2.985151e-02,3.388461e-02,2.740918e-02,3.454850e-06
weak,512cube,1,filtered_v2,040,513x513x513,135005697,9.881116e-02,7.252281e-03,2.989315e-02,3.427177e-02,2.739030e-02,3.647350e-06
weak,512cube,1,pascal,025,513x513x513,135005697,9.839948e-02,7.256635e-03,2.968889e-02,3.406193e-02,2.738931e-02,2.704050e-06
weak,512cube,1,pascal,040,513x513x513,135005697,9.797932e-02,7.257155e-03,2.972382e-02,3.358633e-02,2.740922e-02,2.788500e-06
weak,512cube,2,filtered_v2,025,513x513x1025,269748225,9.958163e-02,7.263674e-03,2.995642e-02,3.394912e-02,2.824332e-02,1.691022e-04
weak,512cube,2,filtered_v2,040,513x513x1025,269748225,1.001366e-01,7.261513e-03,3.002269e-02,3.372809e-02,2.895906e-02,1.652010e-04
weak,512cube,2,pascal,025,513x513x1025,269748225,1.151876e-01,7.261359e-03,2.985449e-02,3.409860e-02,4.379583e-02,1.773222e-04
weak,512cube,2,pascal,040,513x513x1025,269748225,1.151836e-01,7.262866e-03,2.994303e-02,3.389470e-02,4.391098e-02,1.720077e-04
weak,512cube,4,filtered_v2,025,513x513x2049,539233281,1.013396e-01,7.288015e-03,3.042843e-02,3.485418e-02,2.856892e-02,2.000209e-04
weak,512cube,4,filtered_v2,040,513x513x2049,539233281,1.019749e-01,7.287169e-03,3.044382e-02,3.469471e-02,2.934318e-02,2.060184e-04
weak,512cube,4,pascal,025,513x513x2049,539233281,1.180868e-01,7.291595e-03,3.040480e-02,3.472157e-02,4.544653e-02,2.223392e-04
weak,512cube,4,pascal,040,513x513x2049,539233281,1.182476e-01,7.290766e-03,3.039645e-02,3.492802e-02,4.541449e-02,2.178516e-04
